"TABREF LOKASI
 (Tempat lahir (jenis: KB) dan lokasi kerja)",Update: 13/10/2021,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
A5EB03E21F18F6A0E040640A040252AD,11,,MALUKU UTARA,P,,8300000000,,,,,,
A5EB03E21F19F6A0E040640A040252AD,07,,BENGKULU,P,,1700000000,,,,,,
A5EB03E21F1AF6A0E040640A040252AD,07,,JAMBI,P,,1500000000,,,,,,
A5EB03E21F1BF6A0E040640A040252AD,08,,KALIMANTAN TENGAH,P,,6200000000,,,,,,
A5EB03E21F1CF6A0E040640A040252AD,04,,SULAWESI BARAT,P,,7600000000,,,,,,
A5EB03E21F1DF6A0E040640A040252AD,04,,SULAWESI TENGGARA,P,,7400000000,,,,,,
A5EB03E21F1EF6A0E040640A040252AD,10,,NUSA TENGGARA BARAT,P,,5200000000,,,,,,
A5EB03E21F1FF6A0E040640A040252AD,10,,NUSA TENGGARA TIMUR,P,,5300000000,,,,,,
A5EB03E21F20F6A0E040640A040252AD,07,,KEPULAUAN BANGKA BELITUNG,P,,1900000000,,,,,,
A5EB03E21F21F6A0E040640A040252AD,12,,KEPULAUAN RIAU,P,,2000000000,,,,,,
A5EB03E21F22F6A0E040640A040252AD,14,,PAPUA BARAT,P,,8400000000,,,,,,
A5EB03E21F23F6A0E040640A040252AD,02,,JAWA TIMUR,P,,3500000000,,,,,,
1D28529D5D4EA588E050640A02027520,00,,UKRAINA,NG,,9903800000,,,,,,
1D28529D5D4FA588E050640A02027520,00,,UNI EMIRAT ARAB,NG,,9909710000,,,,,,
1D28529D5D50A588E050640A02027520,00,,UNITED KINGDOM,NG,,9900440000,,,,,,
1D28529D5D52A588E050640A02027520,00,,US VIRGIN ISLANDS,NG,,9913400000,,,,,,
1D28529D5D54A588E050640A02027520,00,,WAKE ISLAND,NG,,9908080000,,,,,,
1D28529D5D55A588E050640A02027520,00,,WALLIS AND FUTUNA ISLANDS,NG,,9906810000,,,,,,
1D28529D5D56A588E050640A02027520,00,,YAMAN,NG,,9909670000,,,,,,
ff8080814b499c49014b52f918035b36,00,,PAKISTAN,NG,,9900920000,,,,,,
ff808081384fcf17013855ec20bb53c7,00,,PAPUA NUGINI,NG,,9906750000,,,,,,
ff8080814a33271b014a3739b3d53623,00,,KOLOMBIA,NG,,9900570000,,,,,,
ff8080814a33271b014a3738dd9835d2,00,,CHILE,NG,,9900560000,,,,,,
ff8080814b97c4ba014ba540c8f33047,00,,ETHIOPIA,NG,,9903450000,,,,,,
ff8080814a33271b014a3737228e3506,00,,BULGARIA,NG,,9903590000,,,,,,
ff8080814e1fbd70014e24413a907980,00,,KAZAKHSTAN,NG,,9900071000,,,,,,
ff80808144245f0701443e31d48d59aa,00,,THAILAND,NG,,9900660000,,,,,,
8ae4828835cdb7210135e5d0047064d8,00,,REPUBLIK RAKYAT TIONGKOK,NG,,9900860000,,,,,,
ff8080814e1fbd70014e24770e472ba2,00,,SRI LANGKA,NG,,9900940000,,,,,,
ff8080814a33271b014a3734c4aa3466,00,,BANGLADESH,NG,,9908800000,,,,,,
8ae482874f15a0f9014f1c1ed7484a5a,00,,AFRIKA SELATAN,NG,,9900270000,,,,,,
ff8080814a33271b014a372ae7a430fd,00,,ALGERIA,NG,,9902130000,,,,,,
ff8080814a33271b014a3733a2663455,00,,AUSTRIA,NG,,9900430000,,,,,,
ff808081353e1617013540fff79711c7,00,,AUSTRALIA,NG,,9900610000,,,,,,
8ae482893cf227d4013d1982eb0b2501,00,,QATAR,NG,,9909740000,,,,,,
ff8080814a33271b014a3379f35a0e64,00,,AFGHANISTAN,NG,,9900930000,,,,,,
ff8080814a33271b014a372b3330313b,00,,ANDORRA,NG,,9903760000,,,,,,
ff8080814a33271b014a3733fbf6345f,00,,AZERBAIJAN,NG,,9909940000,,,,,,
ff8080814a33271b014a3734541a3463,00,,BAHRAIN,NG,,9909730000,,,,,,
ff8080814e1fbd70014e243f8fb2781e,00,,KAMBOJA,NG,,9908550000,,,,,,
ff8080814f05d9aa014f20b6b12723e1,00,,ROMANIA,NG,,9900400000,,,,,,
ff80808135e7a9190135eb5991ec20c8,00,,BELANDA,NG,,9900310000,,,,,,
ff8080814c0a33f1014c0d3ff37b7d1f,00,,NORWEGIA,NG,,9900470000,,,,,,
ff8080814f05d9aa014f21115b261ea5,00,,POLANDIA,NG,,9900480000,,,,,,
ff8080814173fbf20141a1e375e93095,00,,IRAN,NG,,9900980000,,,,,,
ff8080814e1fbd70014e242e419e6d9f,00,,FIJI,NG,,9906790000,,,,,,
ff8080813b843abe013b89550f622f30,00,,LUKSEMBURG,NG,,9903520000,,,,,,
ff8080813c0fb50f013c13e6871633d6,00,,BRITANIA RAYA,NG,,9900442000,,,,,,
ff8080814e1fbd70014e24714e1226d3,00,,SELANDIA BARU,NG,,9900640000,,,,,,
ff8080814a33271b014a372bc4be314b,00,,ARMENIA,NG,,9903740000,,,,,,
ff8080814a33271b014a373847b435a6,00,,KAMERUN,NG,,9902370000,,,,,,
8ae482a75dcb9d79015dcc2880a61d13,00,,TIMOR LESTE,NG,,9909671000,,,,,,
8ae483a663afc1190163afc3d9070036,00,,VATICAN CITY,NG,,9903790000,,,,,,
1D28529D5CF2A588E050640A02027520,00,,VANUATU,NG,,9906780000,,,,,,
1D28529D5CF3A588E050640A02027520,00,,VIETNAM,NG,,9900840000,,,,,,
1D28529D5CF4A588E050640A02027520,00,,ZAMBIA,NG,,9902600000,,,,,,
1D28529D5CF5A588E050640A02027520,00,,ZIMBABWE,NG,,9902630000,,,,,,
1D28529D5CF7A588E050640A02027520,00,,ANTIGUA,NG,,9912680000,,,,,,
1D28529D5CF9A588E050640A02027520,00,,AUSTRALIAN EXTERNAL TERRITORIES,NG,,9906720000,,,,,,
1D28529D5CFAA588E050640A02027520,00,,BAHAMA,NG,,9912420000,,,,,,
1D28529D5CFBA588E050640A02027520,00,,BARBADOS,NG,,9912460000,,,,,,
1D28529D5CFDA588E050640A02027520,00,,BELGIUM,NG,,9900320000,,,,,,
1D28529D5CFEA588E050640A02027520,00,,BELIZE,NG,,9905010000,,,,,,
1D28529D5D03A588E050640A02027520,00,,CAPE VERDE ISLANDS,NG,,9902380000,,,,,,
1D28529D5D04A588E050640A02027520,00,,CENTRAL AFRICAN REPUBLIC,NG,,9902360000,,,,,,
1D28529D5D06A588E050640A02027520,00,,COMOROS,NG,,9902690000,,,,,,
1D28529D5D07A588E050640A02027520,00,,COOK ISLANDS,NG,,9906820000,,,,,,
1D28529D5D08A588E050640A02027520,00,,IVORY COAST,NG,,9902250000,,,,,,
1D28529D5D09A588E050640A02027520,00,,CYPRUS,NG,,9903570000,,,,,,
1D28529D5D0AA588E050640A02027520,00,,DIEGO GARCIA,NG,,9902460000,,,,,,
1D28529D5D0BA588E050640A02027520,00,,DOMINICAN REPUBLIC,NG,,9918090000,,,,,,
1D28529D5D0CA588E050640A02027520,00,,EAST TIMOR,NG,,9906700000,,,,,,
1D28529D5D0EA588E050640A02027520,00,,EL SALVADOR,NG,,9905030000,,,,,,
1D28529D5D0FA588E050640A02027520,00,,EQUATORIAL GUINEA,NG,,9902400000,,,,,,
1D28529D5D10A588E050640A02027520,00,,FAROE ISLANDS,NG,,9902980000,,,,,,
ff8080814a33271b014a3736e69434ff,00,,BOSNIA DAN HERZEGOVINA,NG,,9903870000,,,,,,
ff8080814e1fbd70014e244be1910053,00,,KOREA SELATAN,NG,,9900820000,,,,,,
ff808081448b7afe01448c1f51400b21,00,,ITALIA,NG,,9900390000,,,,,,
ff808081355cc17601355fcc94ec0f2e,00,,ARAB SAUDI,NG,,9909660000,,,,,,
ff8080814a33271b014a37389bcc35cd,00,,CHAD,NG,,9902350000,,,,,,
1D28529D5D14A588E050640A02027520,00,,FRENCH GUIANA,NG,,9905940000,,,,,,
1D28529D5D15A588E050640A02027520,00,,FRENCH POLYNESIA,NG,,9906890000,,,,,,
1D28529D5D17A588E050640A02027520,00,,GIBRALTAR,NG,,9903500000,,,,,,
1D28529D5D18A588E050640A02027520,00,,YUNANI,NG,,9900300000,,,,,,
1D28529D5D19A588E050640A02027520,00,,GRENADA,NG,,9914730000,,,,,,
1D28529D5D1AA588E050640A02027520,00,,GUADELOUPE,NG,,9905900000,,,,,,
1D28529D5D1BA588E050640A02027520,00,,GUAM,NG,,9916710000,,,,,,
1D28529D5D1CA588E050640A02027520,00,,GUANTANAMO BAY,NG,,9953990000,,,,,,
1D28529D5D1DA588E050640A02027520,00,,GUATEMALA,NG,,9905020000,,,,,,
1D28529D5D1EA588E050640A02027520,00,,GUINEABISSAU,NG,,9902450000,,,,,,
1D28529D5D1FA588E050640A02027520,00,,HAITI,NG,,9905090000,,,,,,
1D28529D5D20A588E050640A02027520,00,,HONDURAS,NG,,9905040000,,,,,,
1D28529D5D21A588E050640A02027520,00,,ICELAND,NG,,9903540000,,,,,,
1D28529D5D23A588E050640A02027520,00,,JAMAIKA,NG,,9918760000,,,,,,
1D28529D5D25A588E050640A02027520,00,,JORDAN,NG,,9909620000,,,,,,
1D28529D5D28A588E050640A02027520,00,,MAYOTTE ISLAND,NG,,9902620000,,,,,,
1D28529D5D29A588E050640A02027520,00,,MIDWAY ISLAND,NG,,9918080000,,,,,,
1D28529D5D2CA588E050640A02027520,00,,NEVIS,NG,,9918690000,,,,,,
1D28529D5D2FA588E050640A02027520,00,,NIUE,NG,,9906830000,,,,,,
1D28529D5D31A588E050640A02027520,00,,NORTHERN MARIANAS ISLANDS,NG,,9916700000,,,,,,
1D28529D5D33A588E050640A02027520,00,,PANAMA,NG,,9905070000,,,,,,
1D28529D5D38A588E050640A02027520,00,,ST. HELENA,NG,,9902900000,,,,,,
1D28529D5D3AA588E050640A02027520,00,,ST. LUCIA,NG,,9917580000,,,,,,
1D28529D5D3BA588E050640A02027520,00,,ST. PIERRE & MIQUELON,NG,,9905080000,,,,,,
1D28529D5D3CA588E050640A02027520,00,,ST. VINCENT & GRENADINES,NG,,9917840000,,,,,,
1D28529D5D3DA588E050640A02027520,00,,SÃO TOMÉ AND PRINCIPE,NG,,9902390000,,,,,,
1D28529D5D3FA588E050640A02027520,00,,SEYCHELLES REPUBLIC,NG,,9902480000,,,,,,
1D28529D5D41A588E050640A02027520,00,,SLOVAK REPUBLIC,NG,,9904210000,,,,,,
1D28529D5D42A588E050640A02027520,00,,SOMALI DEMOCRATIC REPUBLIC,NG,,9902520000,,,,,,
1D28529D5D43A588E050640A02027520,00,,SPANYOL,NG,,9900340000,,,,,,
1D28529D5D45A588E050640A02027520,00,,SWEDIA,NG,,9900460000,,,,,,
1D28529D5D47A588E050640A02027520,00,,SYRIA,NG,,9909630000,,,,,,
1D28529D5D49A588E050640A02027520,00,,TOGOLESE REPUBLIC,NG,,9902280000,,,,,,
1D28529D5D4AA588E050640A02027520,00,,TOKELAU,NG,,9906900000,,,,,,
1D28529D5D4BA588E050640A02027520,00,,TONGA ISLANDS,NG,,9906760000,,,,,,
1D28529D5D4CA588E050640A02027520,00,,TRINIDAD & TOBAGO,NG,,9918680000,,,,,,
1D28529D5D4DA588E050640A02027520,00,,TURKI,NG,,9900900000,,,,,,
1D28529D5CB0A588E050640A02027520,00,,KUWAIT,NG,,9909650000,,,,,,
1D28529D5CB1A588E050640A02027520,00,,KIRGIZSTAN,NG,,9909960000,,,,,,
1D28529D5CB2A588E050640A02027520,00,,LATVIA,NG,,9903710000,,,,,,
1D28529D5CB3A588E050640A02027520,00,,LEBANON,NG,,9909610000,,,,,,
1D28529D5CB4A588E050640A02027520,00,,LESOTHO,NG,,9902660000,,,,,,
1D28529D5CB5A588E050640A02027520,00,,LIBERIA,NG,,9902310000,,,,,,
1D28529D5CB6A588E050640A02027520,00,,LIBIA,NG,,9902180000,,,,,,
1D28529D5CB7A588E050640A02027520,00,,LIECHTENSTEIN,NG,,9904230000,,,,,,
1D28529D5CB8A588E050640A02027520,00,,LITHUANIA,NG,,9903700000,,,,,,
1D28529D5CB9A588E050640A02027520,00,,MAKAU,NG,,9908530000,,,,,,
1D28529D5CBAA588E050640A02027520,00,,MAKEDONIA,NG,,9903890000,,,,,,
1D28529D5CBBA588E050640A02027520,00,,MADAGASKAR,NG,,9902610000,,,,,,
1D28529D5CBCA588E050640A02027520,00,,MALAWI,NG,,9902650000,,,,,,
1D28529D5CBDA588E050640A02027520,00,,MALADEWA,NG,,9909600000,,,,,,
1D28529D5CBEA588E050640A02027520,00,,MALI,NG,,9902230000,,,,,,
1D28529D5CBFA588E050640A02027520,00,,MALTA,NG,,9903560000,,,,,,
1D28529D5CC0A588E050640A02027520,00,,KEPULAUAN MARSHALL,NG,,9906920000,,,,,,
1D28529D5CC1A588E050640A02027520,00,,MARTINIQUE ,NG,,9905960000,,,,,,
1D28529D5CC2A588E050640A02027520,00,,MAURITANIA,NG,,9902220000,,,,,,
1D28529D5CC3A588E050640A02027520,00,,MAURITIUS,NG,,9902300000,,,,,,
1D28529D5CC4A588E050640A02027520,00,,MEKSIKO,NG,,9900520000,,,,,,
1D28529D5CC5A588E050640A02027520,00,,FEDERASI MIKRONESIA,NG,,9906910000,,,,,,
1D28529D5CC6A588E050640A02027520,00,,MOLDOVA,NG,,9903730000,,,,,,
ff80808146ad114c0146c6e7ab210924,00,,MYANMAR,NG,,9900950000,,,,,,
ff8080814a33271b014a372b8d393142,00,,ARGENTINA,NG,,9900540000,,,,,,
ff8080814e1fbd70014e242c86446cb3,00,,BRUNEI DARUSSALAM,NG,,9906730000,,,,,,
1D28529D5CC7A588E050640A02027520,00,,MONAKO,NG,,9903770000,,,,,,
1D28529D5CC8A588E050640A02027520,00,,MONGOLIA,NG,,9909760000,,,,,,
1D28529D5CC9A588E050640A02027520,00,,MONTENEGRO,NG,,9903820000,,,,,,
1D28529D5CCAA588E050640A02027520,00,,MONTSERRAT ,NG,,9916640000,,,,,,
1D28529D5CCBA588E050640A02027520,00,,MAROKO,NG,,9902120000,,,,,,
1D28529D5CCCA588E050640A02027520,00,,MOZAMBIK,NG,,9902580000,,,,,,
1D28529D5CCDA588E050640A02027520,00,,NAMIBIA,NG,,9902640000,,,,,,
1D28529D5CCEA588E050640A02027520,00,,NAURU,NG,,9906740000,,,,,,
1D28529D5CCFA588E050640A02027520,00,,NIKARAGUA ,NG,,9905050000,,,,,,
1D28529D5CD0A588E050640A02027520,00,,NIGER,NG,,9902270000,,,,,,
1D28529D5CD1A588E050640A02027520,00,,NIGERIA,NG,,9902340000,,,,,,
1D28529D5CD2A588E050640A02027520,00,,OMAN,NG,,9909680000,,,,,,
1D28529D5CD3A588E050640A02027520,00,,PALAU,NG,,9906800000,,,,,,
1D28529D5CD4A588E050640A02027520,00,,PALESTINA,NG,,9909700000,,,,,,
1D28529D5CD5A588E050640A02027520,00,,PARAGUAY,NG,,9905950000,,,,,,
1D28529D5CD8A588E050640A02027520,00,,PORTUGAL,NG,,9903510000,,,,,,
1D28529D5CD9A588E050640A02027520,00,,PUERTO RICO,NG,,9917870000,,,,,,
1D28529D5CDCA588E050640A02027520,00,,RWANDA,NG,,9902500000,,,,,,
1D28529D5CDDA588E050640A02027520,00,,SAMOA,NG,,9906850000,,,,,,
1D28529D5CDEA588E050640A02027520,00,,SAN MARINO,NG,,9903780000,,,,,,
1D28529D5CDFA588E050640A02027520,00,,SENEGAL,NG,,9902210000,,,,,,
1D28529D5CE0A588E050640A02027520,00,,SERBIA,NG,,9903810000,,,,,,
1D28529D5CE1A588E050640A02027520,00,,SIERRA LEONE,NG,,9902320000,,,,,,
1D28529D5CE2A588E050640A02027520,00,,SLOVENIA,NG,,9903860000,,,,,,
1D28529D5CE3A588E050640A02027520,00,,KEPULAUAN SOLOMON,NG,,9906770000,,,,,,
1D28529D5CE5A588E050640A02027520,00,,SUDAN,NG,,9902490000,,,,,,
1D28529D5CE6A588E050640A02027520,00,,SURINAME,NG,,9905970000,,,,,,
1D28529D5CE7A588E050640A02027520,00,,SWAZILAND,NG,,9902680000,,,,,,
1D28529D5CE8A588E050640A02027520,00,,TAIWAN,NG,,9908860000,,,,,,
1D28529D5CE9A588E050640A02027520,00,,TAJIKISTAN,NG,,9909920000,,,,,,
1D28529D5CEAA588E050640A02027520,00,,TANZANIA,NG,,9902550000,,,,,,
1D28529D5CEBA588E050640A02027520,00,,TUNISIA,NG,,9902160000,,,,,,
1D28529D5CECA588E050640A02027520,00,,TURKMENISTAN,NG,,9909930000,,,,,,
1D28529D5CEDA588E050640A02027520,00,,TURKS AND CAICOS ISLANDS,NG,,9916490000,,,,,,
1D28529D5CEEA588E050640A02027520,00,,TUVALU,NG,,9906880000,,,,,,
1D28529D5CEFA588E050640A02027520,00,,UGANDA,NG,,9902560000,,,,,,
1D28529D5CF0A588E050640A02027520,00,,URUGUAY,NG,,9905980000,,,,,,
1D28529D5CF1A588E050640A02027520,00,,UZBEKISTAN,NG,,9909980000,,,,,,
ff8080814f05d9aa014f2107b2e6111a,00,,DENMARK,NG,,9900450000,,,,,,
ff8080814a33271b014a3734f1e63469,00,,BELARUS,NG,,9903750000,,,,,,
ff8080814a33271b014a372a439130d9,00,,ALBANIA,NG,,9903550000,,,,,,
ff8080814e1fbd70014e244c654f00a3,00,,KOREA UTARA,NG,,9908500000,,,,,,
ff8080814e1fbd70014e246429ac17a1,00,,KALEDONIA BARU,NG,,9906870000,,,,,,
ff80808133fea9bd013416dcc6e00132,00,,JERMAN,NG,,9900490000,,,,,,
8ae482874d048ed2014d08517db25ae9,00,,INDIA,NG,,9900581000,,,,,,
ff80808149d5e050014a09021d083ffa,00,,RUMANIA,NG,,9900311000,,,,,,
8ae482874d048ed2014d085256845b0d,00,,NEPAL,NG,,9909770000,,,,,,
ff80808144245f07014442ad6d2a65b8,00,,KANADA,NG,,9900010001,,,,,,
ff8080813243785601324721ba7338ae,00,,AMERIKA SERIKAT,NG,,9900010000,,,,,,
ff80808146aa25920146adf6ead9245f,00,,SINGAPURA,NG,,9900650000,,,,,,
ff8080814a2f4034014a33198f5858e4,00,,LAOS,NG,,9900491000,,,,,,
ff808081325e8a69013266ce3a4e0cd0,00,,RUSIA,NG,,9900070000,,,,,,
8ae4828736067ea601360ee3028a3a81,00,,FILIPINA,NG,,9900630000,,,,,,
ff80808138b888620138c6c5edb2450b,00,,BRAZIL,NG,,9900550000,,,,,,
ff8080813290fadf0132a9e8d9552a5e,00,,JEPANG,NG,,9900810000,,,,,,
ff80808135806b2601358945b5ef49fc,00,,MALAYSIA,NG,,9900600000,,,,,,
ff8080814f05d9aa014f2113e87222ae,00,,PERU,NG,,9900510000,,,,,,
8ae482894623c7a00146273d5e632e50,00,,VENEZUELA,NG,,9900580000,,,,,,
ff80808131f13eb50131f50947572e56,00,,TIMOR TIMUR,NG,,9900620000,,,,,,
ff8080814a33271b014a3736a93634f8,00,,BOLIVIA,NG,,9905910000,,,,,,
8ae482874f15a0f9014f1c202fd64adf,00,,HUNGARIA,NG,,9900360000,,,,,,
8ae482874ee3604c014ef6d7111d54cf,00,,MESIR,NG,,9902000000,,,,,,
ff80808131f4dee30131f566f1a00ab6,00,,BELGIA,NG,,9900320003,,,,,,
ff80808146611e81014665ab935d6f35,00,,ANGOLA,NG,,9902440000,,,,,,
ff80808131f4dee30131f553df160885,00,,PERANCIS,NG,,9900330000,,,,,,
ff8080814aed4dab014b1627b9b86867,00,,SWISS,NG,,9900410000,,,,,,
1D28529D5C92A588E050640A02027520,00,,REPUBLIK KONGO,NG,,9902420000,,,,,,
1D28529D5C88A588E050640A02027520,00,,ANGUILLA,NG,,9912640000,,,,,,
1D28529D5C89A588E050640A02027520,00,,ARUBA,NG,,9902970000,,,,,,
1D28529D5C8AA588E050640A02027520,00,,BERMUDA,NG,,9914410000,,,,,,
1D28529D5C8BA588E050640A02027520,00,,BHUTAN,NG,,9909750000,,,,,,
1D28529D5C8CA588E050640A02027520,00,,BOTSWANA,NG,,9902670000,,,,,,
1D28529D5C8DA588E050640A02027520,00,,BRITISH VIRGIN ISLANDS,NG,,9912840000,,,,,,
1D28529D5C8EA588E050640A02027520,00,,BURKINA FASO,NG,,9902260000,,,,,,
1D28529D5C8FA588E050640A02027520,00,,BURUNDI,NG,,9902570000,,,,,,
1D28529D5C90A588E050640A02027520,00,,CAYMAN ISLANDS,NG,,9913450000,,,,,,
1D28529D5C93A588E050640A02027520,00,,REPUBLIK DEMOKRATIS KONGO,NG,,9902430000,,,,,,
1D28529D5C94A588E050640A02027520,00,,KOSTA RIKA ,NG,,9905060000,,,,,,
1D28529D5C95A588E050640A02027520,00,,KROASIA,NG,,9903850000,,,,,,
1D28529D5C96A588E050640A02027520,00,,KUBA,NG,,9900530000,,,,,,
1D28529D5C97A588E050640A02027520,00,,CURAÇAO,NG,,9905990000,,,,,,
1D28529D5C98A588E050640A02027520,00,,CEKO,NG,,9904200000,,,,,,
1D28529D5C9AA588E050640A02027520,00,,JIBOUTI,NG,,9902530000,,,,,,
1D28529D5C9BA588E050640A02027520,00,,REPUBLIK DOMINIKA ,NG,,9917670000,,,,,,
1D28529D5C9CA588E050640A02027520,00,,EKUADOR,NG,,9905930000,,,,,,
1D28529D5C9DA588E050640A02027520,00,,ERITREA,NG,,9902910000,,,,,,
1D28529D5C9EA588E050640A02027520,00,,ESTONIA,NG,,9903720000,,,,,,
1D28529D5C9FA588E050640A02027520,00,,KEPULAUAN FALKLAND,NG,,9905000000,,,,,,
1D28529D5CA0A588E050640A02027520,00,,FINLANDIA,NG,,9903580000,,,,,,
1D28529D5CA1A588E050640A02027520,00,,GABON,NG,,9902410000,,,,,,
1D28529D5CA2A588E050640A02027520,00,,GAMBIA,NG,,9902200000,,,,,,
1D28529D5CA3A588E050640A02027520,00,,GEORGIA,NG,,9909950000,,,,,,
1D28529D5CA4A588E050640A02027520,00,,GHANA,NG,,9902330000,,,,,,
1D28529D5CA5A588E050640A02027520,00,,GREENLAND,NG,,9902990000,,,,,,
1D28529D5CA6A588E050640A02027520,00,,GUYANA,NG,,9902240000,,,,,,
1D28529D5CA7A588E050640A02027520,00,,GUYANA PERANCIS,NG,,9905920000,,,,,,
1D28529D5CA8A588E050640A02027520,00,,HONG KONG,NG,,9908520000,,,,,,
1D28529D5CABA588E050640A02027520,00,,IRAK,NG,,9909640000,,,,,,
1D28529D5CACA588E050640A02027520,00,,IRLANDIA,NG,,9903530000,,,,,,
1D28529D5CADA588E050640A02027520,00,,ISRAEL,NG,,9909720000,,,,,,
1D28529D5CAEA588E050640A02027520,00,,KENYA,NG,,9902540000,,,,,,
1D28529D5CAFA588E050640A02027520,00,,KIRIBATI,NG,,9906860000,,,,,,
8ae483a66268745c016289ab384105c2,12,A5EB03E21F75F6A0E040640A040252AD,KEPULAUAN POSEK,KC,,TC81048590,,,,,,
8ae483a86c228212016c28d86f442a76,07,A5EB03E220A5F6A0E040640A040252AD,SELAT PENUGUAN,KC,,TC56077505,,,,,,
C87C0F84613AFF8BE050640AF2083442,07,A5EB03E2202BF6A0E040640A040252AD,PANANG ENIM,KC,,1603030000,,,,,,
C87C0F84613BFF8BE050640AF2083442,07,A5EB03E2202BF6A0E040640A040252AD,RAMBANG NIRU,KC,,1603031000,,,,,,
C87C0F84613CFF8BE050640AF2083442,07,A5EB03E220A4F6A0E040640A040252AD,JIRAK JAYA,KC,,1606015000,,,,,,
C87C0F84613DFF8BE050640AF2083442,07,A5EB03E22094F6A0E040640A040252AD,MADANG SUKU III,KC,,1608022000,,,,,,
C87C0F84613EFF8BE050640AF2083442,07,A5EB03E220A6F6A0E040640A040252AD,ILIR TIMUR TIGA,KC,,1671018000,,,,,,
C87C0F84613FFF8BE050640AF2083442,07,A5EB03E220A6F6A0E040640A040252AD,JAKABARING,KC,,1671019000,,,,,,
C87C0F846140FF8BE050640AF2083442,06,A5EB03E2208CF6A0E040640A040252AD,DATUK LIMA PULUH,KC,,1220010000,,,,,,
C87C0F846141FF8BE050640AF2083442,06,A5EB03E2208CF6A0E040640A040252AD,DATUK TANAH DATAR,KC,,1220011000,,,,,,
C87C0F846142FF8BE050640AF2083442,06,A5EB03E2208CF6A0E040640A040252AD,LAUT TADOR,KC,,1220012000,,,,,,
C87C0F846143FF8BE050640AF2083442,06,A5EB03E2208CF6A0E040640A040252AD,LIMA PULUH PESISIR,KC,,1220013000,,,,,,
C87C0F846144FF8BE050640AF2083442,06,A5EB03E2208CF6A0E040640A040252AD,NIBUNG HANGUS,KC,,1220014000,,,,,,
